iter	Passed	Remaining
918	8406	740
919	8414	731
920	8423	722
921	8433	713
922	8442	704
923	8450	695
924	8459	685
925	8467	676
926	8475	667
927	8484	658
928	8493	649
929	8502	639
930	8511	630
931	8520	621
932	8528	612
933	8538	603
934	8547	594
935	8555	584
936	8564	575
937	8575	566
938	8584	557
939	8594	548
940	8603	539
941	8612	530
942	8621	521
943	8631	512
944	8640	502
945	8649	493
946	8658	484
947	8666	475
948	8674	466
949	8684	457
950	8693	447
951	8702	438
952	8711	429
953	8721	420
954	8729	411
955	8738	402
956	8748	393
957	8758	383
958	8767	374
959	8777	365
960	8787	356
961	8796	347
962	8805	338
963	8816	329
964	8826	320
965	8835	310
966	8844	301
967	8853	292
968	8862	283
969	8871	274
970	8879	265
971	8888	256
972	8896	246
973	8906	237
974	8915	228
975	8924	219
976	8934	210
977	8942	201
978	8952	192
979	8961	182
980	8971	173
981	8980	164
982	8989	155
983	8999	146
984	9009	137
985	9018	128
986	9028	118
987	9037	109
988	9046	100
989	9056	91
990	9066	82
991	9074	73
992	9083	64
993	9092	54
994	9100	45
995	9109	36
996	9118	27
997	9126	18
998	9136	9
999	9145	0
